2a0f:85c1:81e::/48,CA,CA-ON,Waterloo,
2a0a:6044:ac90::/48,CA,CA-ON,Waterloo,
2a0a:6044:ac91::/48,CA,CA-ON,Ottawa,
2a0a:6044:ac92::/48,CA,CA-QC,Montreal,
2a0a:6044:ac93::/48,US,US-NY,New York,
2a0a:6044:ac94::/48,DE,DE-HE,Frankfurt,
2a0a:6044:ac95::/48,CN,CN-GD,Guangzhou,
2a0a:6044:ac96::/48,RU,RU-MOW,Moscow City,
2a0a:6044:ac97::/48,PT,PT-20,Sao Miguel,
2a0a:6044:ac98::/48,IT,IT-78,Calabria,
2a0a:6044:ac99::/48,,,,
2a0a:6044:ac9a::/48,,,,
2a0a:6044:ac9b::/48,,,,
2a0a:6044:ac9c::/48,,,,
2a0a:6044:ac9d::/48,,,,
2a0a:6044:ac9e::/48,,,,
2a0a:6044:ac9f::/48,,,,
